2022-11-22 00:24:28	19461	thr_1	167	[ERROR]	[system]	src/http/http_connection.cpp:322	[getConnection]	getConnection
2022-11-22 00:24:28	19460	thr_0	169	[ERROR]	[system]	src/http/http_connection.cpp:322	[getConnection]	getConnection
2022-11-22 00:24:28	19459	UNKOWN	171	[ERROR]	[system]	src/http/http_connection.cpp:322	[getConnection]	getConnection
2022-11-22 00:24:28	19461	thr_1	173	[ERROR]	[system]	src/http/http_connection.cpp:322	[getConnection]	getConnection
2022-11-22 00:24:28	19460	thr_0	175	[ERROR]	[system]	src/http/http_connection.cpp:322	[getConnection]	getConnection
2022-11-22 00:24:28	19459	UNKOWN	177	[ERROR]	[system]	src/http/http_connection.cpp:322	[getConnection]	getConnection
2022-11-22 00:24:28	19461	thr_1	179	[ERROR]	[system]	src/http/http_connection.cpp:322	[getConnection]	getConnection
2022-11-22 00:24:29	19460	thr_0	181	[ERROR]	[system]	src/http/http_connection.cpp:322	[getConnection]	getConnection
2022-11-22 00:24:29	19459	UNKOWN	183	[ERROR]	[system]	src/http/http_connection.cpp:322	[getConnection]	getConnection
2022-11-22 00:24:29	19461	thr_1	185	[ERROR]	[system]	src/http/http_connection.cpp:322	[getConnection]	getConnection
2022-11-22 00:24:29	19460	thr_0	187	[ERROR]	[system]	src/http/http_connection.cpp:322	[getConnection]	getConnection
2022-11-22 00:24:29	19459	UNKOWN	189	[ERROR]	[system]	src/http/http_connection.cpp:322	[getConnection]	getConnection
2022-11-22 00:24:29	19461	thr_1	191	[ERROR]	[system]	src/http/http_connection.cpp:322	[getConnection]	getConnection
2022-11-22 00:24:29	19460	thr_0	193	[ERROR]	[system]	src/http/http_connection.cpp:322	[getConnection]	getConnection
2022-11-22 00:24:29	19459	UNKOWN	195	[ERROR]	[system]	src/http/http_connection.cpp:322	[getConnection]	getConnection
2022-11-22 00:24:29	19461	thr_1	197	[ERROR]	[system]	src/http/http_connection.cpp:322	[getConnection]	getConnection
2022-11-22 00:24:29	19460	thr_0	199	[ERROR]	[system]	src/http/http_connection.cpp:322	[getConnection]	getConnection
